,Date,ADANIPORTS,ADANIPOWER,APOLLOHOSP,ASIANPAINT,AUROPHARMA,BAJFINANCE,BALKRISIND,BANKBARODA,BERGEPAINT,BAJAJFINSV,CENTURYTEX,CUMMINSIND,ENGINERSIN,FEDERALBNK,IDFCFIRSTB,CASTROLIND,INDUSINDBK,JINDALSTEL,MCDOWELL-N,MOTHERSUMI,MUTHOOTFIN,NATIONALUM,ICICIPRULI,PIDILITIND,RELCAPITAL,SRTRANSFIN,TORNTPOWER,AMARAJABAT,APOLLOTYRE,BAJAJ-AUTO,BHARATFORG,HEROMOTOCO,HINDUNILVR,IBULHSGFIN,MANAPPURAM,TORNTPHARM,ULTRACEMCO,BHARTIARTL,KAJARIACER,TATAMOTORS,TATAMTRDVR
0,2021-06-01,798.200012,95.349998,3239.800049,2931.0,970.299988,5784.799805,2175.300049,79.349998,798.25,11829.900391,497.5,779.849976,83.150002,85.75,57.549999,132.399994,1010.049988,396.5,612.400024,237.300003,1308.900024,72.349998,552.0,2067.100098,14.7,1411.300049,432.5,739.099976,221.800003,4238.950195,666.650024,2976.75,2358.300049,221.699997,160.699997,2785.649902,6601.350098,532.900024,966.099976,318.100006,143.800003
1,2021-06-02,811.5,96.400002,3273.600098,2903.699951,966.450012,5808.649902,2229.399902,81.199997,793.950012,11823.599609,503.5,794.349976,85.300003,87.599998,60.950001,131.899994,1028.0,398.799988,616.099976,269.100006,1414.900024,72.849998,566.099976,2064.449951,15.4,1430.050049,435.600006,741.349976,229.949997,4295.049805,697.5,2972.600098,2358.800049,226.949997,163.800003,2795.0,6594.200195,529.5,968.400024,323.0,147.850006
2,2021-06-03,825.299988,100.75,3425.649902,2935.350098,967.849976,5901.5,2218.899902,81.800003,800.549988,11819.849609,504.5,809.049988,84.900002,88.0,60.650002,133.949997,1005.75,397.399994,614.200012,250.550003,1511.699951,73.050003,569.700012,2080.449951,16.15,1417.699951,439.350006,752.799988,230.899994,4273.350098,695.900024,3008.350098,2363.25,228.800003,164.5,2775.199951,6641.700195,532.049988,997.900024,325.649994,148.949997
3,2021-06-04,833.849976,105.75,3380.149902,2924.899902,959.049988,5993.450195,2213.199951,81.849998,796.349976,12155.650391,508.899994,810.700012,84.25,87.849998,59.799999,141.050003,1009.299988,398.600006,629.349976,252.050003,1509.349976,72.75,578.25,2079.399902,16.049999,1423.199951,431.399994,758.599976,230.600006,4250.049805,750.900024,3048.399902,2342.050049,261.350006,162.449997,2811.550049,6664.299805,532.700012,989.549988,334.950012,151.899994
4,2021-06-07,878.599976,126.900002,3315.300049,2933.100098,959.5,5729.75,2244.649902,82.900002,810.650024,11828.549805,518.75,812.950012,88.199997,87.550003,60.400002,153.300003,1025.199951,404.75,633.349976,253.350006,1513.150024,74.199997,582.150024,2084.399902,16.85,1487.449951,461.200012,760.5,237.399994,4249.75,750.0,3052.25,2339.300049,247.800003,165.399994,2824.800049,6849.649902,536.450012,992.049988,345.5,156.350006
5,2021-06-08,874.200012,151.75,3289.449951,2926.25,972.099976,5755.399902,2253.75,81.800003,806.950012,11733.099609,562.549988,816.400024,87.849998,86.199997,59.349998,150.350006,1020.150024,401.75,639.950012,252.350006,1491.300049,72.699997,573.700012,2074.75,17.65,1489.099976,468.5,756.150024,236.100006,4269.899902,757.650024,3055.949951,2359.0,251.899994,166.5,2834.350098,6794.399902,546.799988,1001.849976,352.75,163.600006
6,2021-06-09,852.599976,152.350006,3305.899902,2943.550049,958.950012,5674.5,2248.75,81.849998,802.5,11558.849609,552.900024,825.549988,83.699997,84.5,59.700001,147.149994,1003.549988,397.649994,632.599976,247.199997,1469.099976,70.449997,571.150024,2076.050049,18.5,1437.050049,474.700012,755.049988,235.550003,4224.5,756.299988,3023.5,2356.0,262.149994,162.75,2798.649902,6724.75,540.0,996.400024,343.350006,159.699997
7,2021-06-10,846.75,154.100006,3325.699951,2950.600098,964.0,6086.399902,2269.300049,84.75,809.099976,11993.099609,573.599976,839.599976,84.5,86.449997,60.349998,148.199997,1024.349976,405.450012,644.349976,246.699997,1482.050049,71.199997,581.400024,2132.25,19.4,1470.0,470.850006,759.349976,240.800003,4179.899902,758.349976,3009.0,2378.800049,285.399994,164.199997,2859.800049,6709.649902,545.150024,996.950012,344.75,161.449997
8,2021-06-11,839.75,148.300003,3336.550049,2956.25,1009.799988,6120.0,2241.899902,84.449997,806.099976,11907.5,575.450012,833.099976,83.900002,86.050003,60.049999,149.399994,1015.099976,421.100006,646.049988,244.649994,1474.349976,72.150002,579.75,2116.949951,20.35,1475.349976,464.649994,757.349976,238.75,4172.5,747.900024,3004.350098,2366.5,287.350006,164.600006,2879.800049,6662.850098,540.849976,1021.849976,350.75,161.600006
9,2021-06-14,768.450012,140.899994,3350.199951,2949.899902,994.299988,6194.149902,2272.5,84.949997,809.650024,11926.150391,569.650024,829.900024,83.900002,85.300003,59.450001,149.800003,1024.300049,425.100006,647.75,245.25,1503.5,71.800003,587.900024,2114.949951,21.35,1477.0,458.799988,769.299988,237.399994,4146.5,740.700012,2985.649902,2364.600098,298.5,165.350006,2979.75,6678.5,539.349976,1017.599976,355.950012,165.899994
