,Date,ADANIPORTS,ADANIPOWER,APOLLOHOSP,ASIANPAINT,AUROPHARMA,BAJFINANCE,BALKRISIND,BANKBARODA,BERGEPAINT,BAJAJFINSV,CENTURYTEX,CUMMINSIND,ENGINERSIN,FEDERALBNK,IDFCFIRSTB,CASTROLIND,INDUSINDBK,JINDALSTEL,MCDOWELL-N,MOTHERSUMI,MUTHOOTFIN,NATIONALUM,ICICIPRULI,PIDILITIND,RELCAPITAL,SRTRANSFIN,TORNTPOWER,AMARAJABAT,APOLLOTYRE,BAJAJ-AUTO,BHARATFORG,HEROMOTOCO,HINDUNILVR,IBULHSGFIN,MANAPPURAM,TORNTPHARM,ULTRACEMCO,BHARTIARTL,KAJARIACER,TATAMOTORS,TATAMTRDVR,ACC,ADANIENT,AMBUJACEM,ARVIND,BANKINDIA,BHEL,BOSCHLTD,CADILAHC,CHOLAFIN,DIVISLAB,DLF,EQUITAS,ESCORTS,GODREJCP,GRASIM,HAVELLS,HCLTECH,BSOFT,HDFCBANK,HINDPETRO,CANBK,HINDZINC,IDEA,INDIGO,INFY,IOC,DHFL,ITC,EICHERMOT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KOTAKBANK,EXIDEIND,L&TFH,LUPIN,M&M,GLENMARK,MARICO,MCX,MRF,NCC,NESTLEIND,NTPC,ONGC,PAGEIND,PFC,PNB,RAMCOCEM,RAYMOND,RECLTD,RELIANCE,SAIL,SIEMENS,SRF,STAR,TATAPOWER,TCS,MGL,TECHM,MINDTREE,UBL,UJJIVAN,UNIONBANK,UPL,VEDL,VOLTAS,WIPRO,YESBANK,RELINFRA,AXISBANK,TITAN,ASHOKLEY,BATAINDIA,BEL,BIOCON,BPCL,BRITANNIA,CESC,CIPLA,COALINDIA,DABUR,DISHTV,GAIL,GMRINFRA,HDFC,CONCOR,HINDALCO,DRREDDY,IDBI,IGL,MFSL,M&MFIN,MARUTI,OFSS,NMDC,OIL,POWERGRID,RBLBANK,SHREECEM,SUNPHARMA,TATASTEEL,TATAELXSI,TVSMOTOR,ZEEL,COLPAL,ICICIBANK,LICHSGFIN,SBIN,LT,NBCC,PEL,PETRONET,PVR,TATACHEM,SUNTV
0,2021-06-01,798.200012,95.349998,3239.800049,2931.0,970.299988,5784.799805,2175.300049,79.349998,798.25,11829.900391,497.5,779.849976,83.150002,85.75,57.549999,132.399994,1010.049988,396.5,612.400024,237.300003,1308.900024,72.349998,552.0,2067.100098,14.7,1411.300049,432.5,739.099976,221.800003,4238.950195,666.650024,2976.75,2358.300049,221.699997,160.699997,2785.649902,6601.350098,532.900024,966.099976,318.100006,143.800003,1973.449951,1416.25,324.200012,78.099998,76.199997,71.099998,15108.549805,619.450012,545.650024,4220.100098,287.299988,89.0,1162.800049,849.049988,1444.550049,1029.449951,950.700012,311.25,1511.699951,281.549988,159.050003,327.549988,8.5,1745.699951,1387.199951,109.900002,17.450001,215.25,2665.800049,694.5,3055.75,910.099976,1797.0,190.0,91.800003,1209.199951,806.299988,594.700012,480.700012,1555.699951,83083.453125,78.199997,17758.5,110.199997,117.599998,31055.400391,119.150002,41.650002,950.299988,365.75,145.449997,2168.899902,121.199997,2059.300049,6558.600098,763.25,104.650002,3153.0,1182.949951,1030.5,2418.300049,1250.650024,211.949997,34.349998,815.799988,268.25,1013.200012,542.799988,13.35,60.400002,745.150024,1591.400024,121.650002,1540.699951,146.949997,385.850006,470.850006,3446.75,68.019997,946.450012,147.600006,537.049988,15.45,160.449997,25.700001,2580.75,693.150024,394.700012,5316.5,37.75,524.75,936.450012,160.0,7091.149902,3510.800049,181.399994,136.100006,168.300049,211.300003,27623.150391,671.049988,1100.900024,3609.399902,612.700012,213.199997,1713.800049,650.099976,477.600006,432.549988,1474.650024,47.099998,1796.949951,241.100006,1307.349976,706.400024,525.650024
1,2021-06-02,811.5,96.400002,3273.600098,2903.699951,966.450012,5808.649902,2229.399902,81.199997,793.950012,11823.599609,503.5,794.349976,85.300003,87.599998,60.950001,131.899994,1028.0,398.799988,616.099976,269.100006,1414.900024,72.849998,566.099976,2064.449951,15.4,1430.050049,435.600006,741.349976,229.949997,4295.049805,697.5,2972.600098,2358.800049,226.949997,163.800003,2795.0,6594.200195,529.5,968.400024,323.0,147.850006,1997.099976,1546.75,331.100006,79.949997,78.349998,72.25,15302.75,627.400024,557.299988,4214.25,290.899994,88.050003,1161.449951,850.599976,1442.25,1046.699951,943.75,316.700012,1504.0,288.399994,163.800003,324.399994,8.8,1764.650024,1378.650024,110.849998,17.950001,209.0,2677.75,706.049988,3043.0,940.349976,1783.099976,193.149994,93.699997,1247.25,806.200012,614.799988,491.0,1542.449951,84432.648438,80.599998,17653.5,111.150002,117.75,30776.349609,121.599998,44.0,968.799988,385.649994,148.300003,2201.25,121.900002,2089.649902,6528.850098,758.299988,108.099998,3129.449951,1186.25,1016.950012,2387.300049,1243.300049,214.149994,35.25,837.599976,275.200012,1034.400024,543.0,13.45,63.400002,737.0,1585.699951,124.099998,1543.849976,150.350006,388.100006,474.649994,3475.25,68.764999,954.700012,149.100006,532.25,15.15,158.850006,26.200001,2562.149902,691.5,398.799988,5312.350098,39.200001,531.099976,949.849976,162.850006,7184.700195,3528.300049,183.300003,137.899994,170.58754,221.149994,27893.900391,677.450012,1124.050049,3591.399902,616.650024,212.800003,1717.550049,648.349976,482.350006,437.25,1471.050049,47.900002,1841.300049,240.449997,1320.849976,711.849976,524.200012
2,2021-06-03,825.299988,100.75,3425.649902,2935.350098,967.849976,5901.5,2218.899902,81.800003,800.549988,11819.849609,504.5,809.049988,84.900002,88.0,60.650002,133.949997,1005.75,397.399994,614.200012,250.550003,1511.699951,73.050003,569.700012,2080.449951,16.15,1417.699951,439.350006,752.799988,230.899994,4273.350098,695.900024,3008.350098,2363.25,228.800003,164.5,2775.199951,6641.700195,532.049988,997.900024,325.649994,148.949997,2027.349976,1583.099976,333.950012,79.099998,80.199997,72.349998,15552.049805,634.400024,569.650024,4232.200195,297.649994,90.25,1216.050049,864.349976,1458.75,1072.550049,939.450012,327.899994,1520.550049,287.649994,163.25,324.700012,9.35,1764.599976,1389.650024,112.449997,18.049999,209.050003,2767.75,714.099976,3176.600098,930.549988,1814.199951,192.850006,93.400002,1232.400024,802.049988,616.450012,496.450012,1559.75,84471.0,81.599998,17799.400391,111.800003,122.5,30470.449219,120.75,43.700001,985.849976,395.799988,148.149994,2209.649902,122.349998,2140.699951,6586.25,783.450012,108.650002,3141.25,1187.300049,1014.349976,2371.050049,1267.25,215.699997,35.400002,840.25,277.450012,1111.550049,539.049988,13.5,66.550003,750.650024,1691.199951,124.349998,1550.699951,151.199997,385.100006,473.899994,3496.25,69.129997,948.25,149.050003,540.799988,15.25,161.050003,26.15,2584.0,707.799988,399.200012,5282.549805,38.799999,526.450012,959.049988,162.850006,7209.5,3532.800049,185.600006,139.699997,169.725037,218.850006,28348.150391,675.5,1122.0,3568.75,624.900024,219.600006,1714.400024,650.25,499.600006,439.649994,1510.849976,48.0,1841.150024,247.0,1354.099976,727.75,526.0
3,2021-06-04,833.849976,105.75,3380.149902,2924.899902,959.049988,5993.450195,2213.199951,81.849998,796.349976,12155.650391,508.899994,810.700012,84.25,87.849998,59.799999,141.050003,1009.299988,398.600006,629.349976,252.050003,1509.349976,72.75,578.25,2079.399902,16.049999,1423.199951,431.399994,758.599976,230.600006,4250.049805,750.900024,3048.399902,2342.050049,261.350006,162.449997,2811.550049,6664.299805,532.700012,989.549988,334.950012,151.899994,2009.900024,1700.949951,332.049988,78.599998,82.400002,73.900002,15636.849609,636.5,570.700012,4261.600098,296.950012,91.25,1218.949951,852.549988,1503.25,1056.800049,936.549988,333.299988,1500.949951,298.799988,161.100006,333.700012,9.75,1754.449951,1385.650024,114.599998,18.950001,208.75,2744.600098,721.200012,3174.5,952.75,1811.199951,193.550003,97.5,1231.5,804.599976,614.400024,486.899994,1575.25,84918.703125,81.25,17426.800781,111.75,125.449997,31043.699219,122.199997,43.099998,987.200012,396.5,150.649994,2190.5,122.900002,2119.75,6623.450195,787.700012,108.150002,3143.75,1182.099976,1019.200012,2369.949951,1337.099976,217.75,35.450001,836.25,280.850006,1104.449951,541.200012,13.75,69.800003,742.049988,1679.5,128.399994,1558.949951,152.800003,384.899994,478.25,3489.300049,69.910004,946.400024,153.100006,544.049988,15.95,162.0,26.200001,2619.050049,713.549988,395.049988,5255.0,39.349998,524.200012,958.0,168.149994,7214.700195,3514.949951,193.300003,141.350006,169.612549,214.75,28153.650391,673.950012,1120.699951,3566.149902,623.400024,218.300003,1696.650024,642.700012,530.200012,433.600006,1537.550049,48.349998,1928.099976,244.949997,1385.75,746.150024,521.75
4,2021-06-07,878.599976,126.900002,3315.300049,2933.100098,959.5,5729.75,2244.649902,82.900002,810.650024,11828.549805,518.75,812.950012,88.199997,87.550003,60.400002,153.300003,1025.199951,404.75,633.349976,253.350006,1513.150024,74.199997,582.150024,2084.399902,16.85,1487.449951,461.200012,760.5,237.399994,4249.75,750.0,3052.25,2339.300049,247.800003,165.399994,2824.800049,6849.649902,536.450012,992.049988,345.5,156.350006,2045.949951,1624.300049,339.049988,78.5,84.599998,77.0,15649.25,636.150024,580.099976,4229.950195,298.649994,94.349998,1212.400024,849.099976,1501.0,1050.800049,949.599976,342.600006,1499.849976,301.100006,160.899994,339.850006,10.1,1755.449951,1389.650024,114.699997,20.799999,211.449997,2754.449951,715.75,3146.149902,989.349976,1814.900024,196.899994,97.449997,1233.550049,803.849976,616.299988,489.299988,1610.300049,82400.5,82.300003,17532.550781,116.400002,125.150002,30860.800781,125.75,42.099998,988.650024,409.649994,153.600006,2227.399902,123.0,2110.899902,6686.25,778.700012,113.349998,3183.199951,1185.150024,1034.400024,2407.699951,1346.050049,215.25,35.599998,850.5,278.0,1096.800049,548.25,15.05,73.25,751.099976,1685.099976,128.399994,1575.400024,153.300003,389.049988,481.399994,3542.600098,74.264999,939.799988,156.25,548.5,15.85,168.350006,26.700001,2585.75,719.700012,395.0,5219.200195,39.299999,528.400024,983.650024,170.699997,7275.649902,3557.550049,182.300003,143.100006,177.187546,216.699997,29155.800781,675.349976,1128.699951,3613.0,648.799988,217.600006,1710.599976,648.200012,520.299988,432.25,1557.800049,49.799999,1960.75,249.350006,1431.050049,748.200012,523.5
5,2021-06-08,874.200012,151.75,3289.449951,2926.25,972.099976,5755.399902,2253.75,81.800003,806.950012,11733.099609,562.549988,816.400024,87.849998,86.199997,59.349998,150.350006,1020.150024,401.75,639.950012,252.350006,1491.300049,72.699997,573.700012,2074.75,17.65,1489.099976,468.5,756.150024,236.100006,4269.899902,757.650024,3055.949951,2359.0,251.899994,166.5,2834.350098,6794.399902,546.799988,1001.849976,352.75,163.600006,2042.650024,1636.449951,340.350006,79.050003,82.099998,75.75,15908.400391,634.0,570.900024,4241.200195,304.450012,95.900002,1204.949951,855.650024,1503.150024,1038.949951,967.200012,376.75,1483.050049,302.25,157.949997,338.600006,10.05,1784.300049,1412.949951,116.699997,22.85,213.649994,2763.800049,707.5,3143.649902,991.25,1793.550049,196.699997,96.599998,1236.400024,807.849976,629.299988,488.100006,1620.25,81349.203125,81.900002,17482.599609,116.199997,124.800003,30970.449219,124.75,41.450001,997.400024,426.350006,154.649994,2214.600098,121.449997,2108.850098,6997.799805,819.5,117.050003,3200.149902,1185.449951,1057.75,2441.149902,1379.25,215.25,35.650002,853.549988,273.049988,1071.599976,550.599976,14.75,76.900002,746.349976,1712.5,129.75,1574.550049,152.949997,402.450012,487.450012,3601.75,75.82,953.75,156.0,556.349976,15.45,167.800003,26.700001,2554.5,714.099976,387.75,5274.75,39.700001,529.849976,1014.400024,168.25,7336.75,3574.949951,178.199997,141.600006,175.537537,216.449997,28955.349609,678.75,1111.099976,3742.050049,647.099976,220.149994,1698.599976,642.400024,514.700012,427.200012,1549.150024,49.400002,2166.699951,248.149994,1436.650024,744.150024,528.599976
6,2021-06-09,852.599976,152.350006,3305.899902,2943.550049,958.950012,5674.5,2248.75,81.849998,802.5,11558.849609,552.900024,825.549988,83.699997,84.5,59.700001,147.149994,1003.549988,397.649994,632.599976,247.199997,1469.099976,70.449997,571.150024,2076.050049,18.5,1437.050049,474.700012,755.049988,235.550003,4224.5,756.299988,3023.5,2356.0,262.149994,162.75,2798.649902,6724.75,540.0,996.400024,343.350006,159.699997,2004.400024,1594.650024,334.350006,82.0,80.25,74.800003,15827.5,636.25,555.799988,4267.450195,297.850006,95.900002,1198.150024,853.25,1492.050049,1027.25,971.299988,378.549988,1480.300049,300.350006,155.75,338.049988,9.65,1793.050049,1415.300049,114.949997,20.6,212.5,2729.050049,697.849976,3163.0,932.349976,1782.900024,194.0,95.050003,1219.849976,804.450012,623.150024,487.299988,1570.849976,80228.148438,81.449997,17557.150391,118.099998,124.050003,30178.900391,129.399994,40.599998,973.349976,413.899994,163.949997,2175.0,124.449997,2079.949951,6983.450195,808.75,124.650002,3200.25,1182.449951,1052.25,2419.199951,1376.300049,212.850006,35.299999,845.549988,269.950012,1046.0,544.200012,14.2,80.699997,736.75,1730.75,126.650002,1557.849976,150.699997,404.5,485.049988,3574.699951,76.300003,958.650024,156.399994,558.599976,14.85,162.399994,26.4,2544.75,706.799988,383.149994,5222.799805,39.0,531.799988,997.450012,164.800003,7239.0,3502.600098,179.399994,141.199997,181.575043,213.75,28407.349609,672.849976,1101.0,3709.5,634.5,216.550003,1700.25,636.099976,507.850006,421.450012,1519.300049,47.650002,2128.449951,228.300003,1432.599976,738.650024,518.599976
7,2021-06-10,846.75,154.100006,3325.699951,2950.600098,964.0,6086.399902,2269.300049,84.75,809.099976,11993.099609,573.599976,839.599976,84.5,86.449997,60.349998,148.199997,1024.349976,405.450012,644.349976,246.699997,1482.050049,71.199997,581.400024,2132.25,19.4,1470.0,470.850006,759.349976,240.800003,4179.899902,758.349976,3009.0,2378.800049,285.399994,164.199997,2859.800049,6709.649902,545.150024,996.950012,344.75,161.449997,2030.300049,1612.0,341.549988,87.449997,80.75,75.800003,15786.599609,650.650024,565.75,4372.549805,313.649994,95.449997,1199.0,885.75,1492.5,1023.799988,968.549988,390.950012,1481.050049,298.450012,156.949997,340.0,9.95,1787.449951,1424.300049,115.949997,18.549999,209.300003,2705.050049,705.799988,3207.5,967.25,1799.550049,192.25,99.050003,1228.800049,806.950012,633.75,495.549988,1582.699951,82172.148438,86.0,17556.099609,118.5,123.949997,30221.25,130.75,42.5,998.950012,418.0,163.300003,2183.0,128.550003,2092.25,7075.75,814.25,127.599998,3216.800049,1188.650024,1064.900024,2439.0,1391.050049,224.949997,35.900002,838.700012,271.549988,1055.199951,554.25,14.65,84.699997,744.25,1738.650024,126.849998,1632.099976,152.050003,414.75,483.549988,3576.300049,77.514999,974.200012,156.5,559.950012,15.65,163.5,26.85,2561.899902,696.599976,385.399994,5292.049805,39.150002,537.650024,1027.949951,170.649994,7199.899902,3544.899902,179.449997,140.600006,181.237549,218.350006,28225.800781,676.049988,1114.449951,3796.800049,637.849976,222.100006,1703.650024,640.400024,527.150024,432.25,1519.699951,48.799999,2195.949951,232.600006,1440.800049,748.200012,531.450012
8,2021-06-11,839.75,148.300003,3336.550049,2956.25,1009.799988,6120.0,2241.899902,84.449997,806.099976,11907.5,575.450012,833.099976,83.900002,86.050003,60.049999,149.399994,1015.099976,421.100006,646.049988,244.649994,1474.349976,72.150002,579.75,2116.949951,20.35,1475.349976,464.649994,757.349976,238.75,4172.5,747.900024,3004.350098,2366.5,287.350006,164.600006,2879.800049,6662.850098,540.849976,1021.849976,350.75,161.600006,2024.5,1601.599976,337.700012,85.349998,80.400002,76.199997,15919.25,664.950012,562.299988,4334.5,310.049988,94.5,1218.900024,899.549988,1490.599976,1017.099976,983.349976,402.399994,1486.349976,295.049988,155.899994,344.049988,9.85,1791.650024,1446.900024,115.099998,16.700001,207.899994,2746.399902,731.200012,3218.0,966.549988,1794.349976,191.550003,97.849998,1230.349976,809.0,652.900024,492.25,1568.0,82171.5,90.449997,17536.400391,118.800003,123.550003,30127.050781,130.5,42.049999,987.400024,414.549988,161.399994,2213.149902,135.050003,2099.600098,7065.100098,827.599976,125.699997,3273.800049,1226.900024,1073.0,2453.649902,1373.300049,222.75,35.950001,835.150024,276.25,1046.150024,554.299988,14.4,83.099998,738.450012,1728.449951,131.850006,1633.150024,154.050003,415.0,483.600006,3557.899902,76.650002,967.849976,162.649994,565.200012,15.5,163.75,27.049999,2559.800049,686.049988,393.149994,5453.0,39.0,536.299988,1016.950012,169.149994,7223.799805,3689.350098,183.899994,142.25,184.725052,218.25,28056.0,681.299988,1158.349976,3820.050049,636.5,220.5,1701.150024,635.700012,522.150024,429.600006,1503.449951,54.700001,2252.800049,231.75,1439.300049,748.5,531.049988
9,2021-06-14,768.450012,140.899994,3350.199951,2949.899902,994.299988,6194.149902,2272.5,84.949997,809.650024,11926.150391,569.650024,829.900024,83.900002,85.300003,59.450001,149.800003,1024.300049,425.100006,647.75,245.25,1503.5,71.800003,587.900024,2114.949951,21.35,1477.0,458.799988,769.299988,237.399994,4146.5,740.700012,2985.649902,2364.600098,298.5,165.350006,2979.75,6678.5,539.349976,1017.599976,355.950012,165.899994,2040.550049,1501.449951,340.350006,86.949997,79.199997,67.400002,15914.599609,655.400024,569.900024,4388.049805,299.200012,94.0,1216.400024,920.650024,1493.0,1019.450012,984.200012,397.75,1479.449951,298.399994,154.75,339.600006,9.65,1776.400024,1461.800049,114.75,16.700001,207.300003,2744.949951,729.150024,3199.800049,941.400024,1768.050049,191.199997,97.050003,1192.650024,807.450012,643.849976,494.799988,1554.75,82476.851563,91.75,17577.5,118.199997,124.800003,30164.699219,129.550003,43.049999,993.099976,411.149994,158.399994,2244.899902,137.300003,2068.300049,6983.75,817.799988,123.400002,3276.350098,1221.650024,1069.25,2467.699951,1368.949951,218.550003,37.400002,834.599976,273.899994,1043.050049,561.599976,14.1,87.25,736.25,1734.800049,129.75,1641.25,151.75,412.049988,483.700012,3591.25,76.714996,976.150024,159.350006,568.450012,15.1,163.149994,26.75,2539.199951,681.099976,394.799988,5461.350098,38.700001,530.849976,1000.599976,170.300003,7177.850098,3675.949951,185.800003,143.300003,186.52504,216.600006,28334.050781,677.099976,1164.800049,3809.600098,629.400024,218.199997,1690.050049,635.150024,524.349976,430.350006,1515.75,57.349998,2218.600098,232.75,1437.349976,738.299988,514.700012
